,netThrust,currentAcceleration,currentVelocityDelta,currentVelocity,currentAltitudeDelta,currentAltitude,requiredThrustChange,currentTimestep,sent_time_ns,recv_time_ns,latency
'2.61',37828787.34469748,6.250209834568168,6.250209834568168,356.99102305480443,356.99102305480443,10729.878161445014,69.29257222954804,20.0,,,
'2.62',38376624.111188695,6.37297622521169,6.37297622521169,363.3639992800161,363.3639992800161,11093.24216072503,68.8478670428938,20.0,,,
'2.63',38998279.33350973,6.50931911142888,6.50931911142888,369.87331839144497,369.87331839144497,11463.115479116475,68.34323990104006,20.0,,,
'2.64',39865769.53537761,6.688307112992552,6.688307112992552,376.56162550443753,376.56162550443753,11839.677104620912,67.6390568017326,20.0,,,
'2.65',40738068.77461327,6.86995508274036,6.86995508274036,383.4315805871779,383.4315805871779,12223.10868520809,66.93096997782852,20.0,,,
'2.66',41615277.99104574,7.054321562344672,7.054321562344672,390.4859021495226,390.4859021495226,12613.594587357613,66.21889749166274,20.0,,,
'2.67',42497412.30453845,7.241451692094026,7.241451692094026,397.7273538416166,397.7273538416166,13011.321941199229,65.50282706972226,20.0,,,
'2.68',43384403.328660175,7.431377255659763,7.431377255659763,405.15873109727636,405.15873109727636,13416.480672296504,64.78281422452925,20.0,,,
'2.69',44276101.358805016,7.6241167046600316,7.6241167046600316,412.7828478019364,412.7828478019364,13829.26352009844,64.05898047843996,20.0,,,
'2.70',45172277.51307941,7.819675175828833,7.819675175828833,420.6025229777652,420.6025229777652,14249.866043076207,63.331511625784835,20.0,,,
'2.71',46072625.8998522,8.018044513374358,8.018044513374358,428.6205674911396,428.6205674911396,14678.486610567346,62.60065597336477,20.0,,,
'2.72',46976765.88164045,8.219203308911412,8.219203308911412,436.839770800051,436.839770800051,15115.326381367397,61.8667225027474,20.0,,,
'2.73',47884244.50076036,8.423116971140146,8.423116971140146,445.2628877711911,445.2628877711911,15560.589269138587,61.130078901250606,20.0,,,
'2.74',48794539.12770976,8.629737837181443,8.629737837181443,453.89262560837255,453.89262560837255,16014.48189474696,60.391149412124456,20.0,,,
'2.75',49707060.388391234,8.839005337134594,8.839005337134594,462.73163094550716,462.73163094550716,16477.213525692467,59.650412458384764,20.0,,,
'2.76',50621155.420873255,9.050846222961885,9.050846222961885,471.78247716846903,471.78247716846903,16948.996002860935,58.90839799914502,20.0,,,
'2.77',51536111.50629231,9.265174872198351,9.265174872198351,481.0476520406674,481.0476520406674,17430.0436549016,58.16568458224033,20.0,,,
'2.78',52451160.11161396,9.48189367620524,9.48189367620524,490.52954571687263,490.52954571687263,17920.573200618473,57.4228960625257,20.0,,,
'2.79',53365481.37422112,9.700893521709927,9.700893521709927,500.23043923858256,500.23043923858256,18420.803639857055,56.680697961522256,20.0,,,
'2.80',69225312.24228962,12.583928144704055,12.583928144704055,519.5432809447041,519.5432809447041,19380.254910944706,43.806518136641785,80.0,,,
'2.81',55188435.934187345,10.145245962199368,10.145245962199368,520.2977395739666,520.2977395739666,19451.253873042788,55.2009189517194,20.0,,,
'2.82',56095219.7637811,10.370328588234246,10.370328588234246,530.6680681622008,530.6680681622008,19981.92194120499,54.464839343960925,20.0,,,
'2.83',56997589.57918706,10.597154033559624,10.597154033559624,541.2652221957604,541.2652221957604,20523.18716340075,53.73234280167621,20.0,,,
'2.84',57894552.5358371,10.82556659269482,10.82556659269482,552.0907887884553,552.0907887884553,21075.277952189208,53.00423526407197,20.0,,,
'2.85',58785101.1242829,11.055404214667337,11.055404214667337,563.1461930031226,563.1461930031226,21638.42414519233,52.28133457453637,20.0,,,
'2.86',59668220.75469914,11.286499753840607,11.286499753840607,574.4326927569632,574.4326927569632,22212.856837949294,51.5644643239367,20.0,,,
'2.87',60542897.64639977,11.518682322505928,11.518682322505928,585.9513750794691,585.9513750794691,22798.808213028762,50.85444744632337,20.0,,,
'2.88',61408126.95120398,11.751778735795439,11.751778735795439,597.7031538152646,597.7031538152646,23396.511366844028,50.15209962480703,20.0,,,
'2.89',62262921.0280772,11.985615036830708,11.985615036830708,609.6887688520953,609.6887688520953,24006.200135696123,49.458222574638405,20.0,,,
