INFO       2022-04-12 14:51:02,975: topic='drag' sending data='{"drag": 0}' as format_msg_with_header(msgToSend)=b'36   drag                     {"drag": 0}'
INFO       2022-04-12 14:51:06,578: topic='field_update' sending data='{"currentTimestep": 32}' as format_msg_with_header(msgToSend)=b'48   field_update             {"currentTimestep": 32}'
DEBUG      2022-04-12 14:51:06,578: Timestep:    31-{'drag': 16766045.267046994}
INFO       2022-04-12 14:51:06,702: topic='drag' sending data='{"drag": 17411742.67147129}' as format_msg_with_header(msgToSend)=b'52   drag                     {"drag": 17411742.67147129}'
INFO       2022-04-12 14:51:06,702: topic='field_update' sending data='{"currentTimestep": 33}' as format_msg_with_header(msgToSend)=b'48   field_update             {"currentTimestep": 33}'
DEBUG      2022-04-12 14:51:06,702: Timestep:    32-{'drag': 17411742.67147129}
INFO       2022-04-12 14:51:06,843: topic='drag' sending data='{"drag": 18036574.794745408}' as format_msg_with_header(msgToSend)=b'53   drag                     {"drag": 18036574.794745408}'
INFO       2022-04-12 14:51:06,843: topic='field_update' sending data='{"currentTimestep": 34}' as format_msg_with_header(msgToSend)=b'48   field_update             {"currentTimestep": 34}'
DEBUG      2022-04-12 14:51:06,843: Timestep:    33-{'drag': 18036574.794745408}
INFO       2022-04-12 14:51:06,938: topic='drag' sending data='{"drag": 18638992.125252523}' as format_msg_with_header(msgToSend)=b'53   drag                     {"drag": 18638992.125252523}'
INFO       2022-04-12 14:51:06,939: topic='field_update' sending data='{"currentTimestep": 35}' as format_msg_with_header(msgToSend)=b'48   field_update             {"currentTimestep": 35}'
DEBUG      2022-04-12 14:51:06,939: Timestep:    34-{'drag': 18638992.125252523}
INFO       2022-04-12 14:51:07,013: topic='drag' sending data='{"drag": 19217600.642246768}' as format_msg_with_header(msgToSend)=b'53   drag                     {"drag": 19217600.642246768}'
INFO       2022-04-12 14:51:07,013: topic='field_update' sending data='{"currentTimestep": 36}' as format_msg_with_header(msgToSend)=b'48   field_update             {"currentTimestep": 36}'
DEBUG      2022-04-12 14:51:07,013: Timestep:    35-{'drag': 19217600.642246768}
INFO       2022-04-12 14:51:07,149: topic='drag' sending data='{"drag": 19771155.761537887}' as format_msg_with_header(msgToSend)=b'53   drag                     {"drag": 19771155.761537887}'
INFO       2022-04-12 14:51:07,149: topic='field_update' sending data='{"currentTimestep": 37}' as format_msg_with_header(msgToSend)=b'48   field_update             {"currentTimestep": 37}'
DEBUG      2022-04-12 14:51:07,149: Timestep:    36-{'drag': 19771155.761537887}
INFO       2022-04-12 14:51:07,241: topic='drag' sending data='{"drag": 20298555.18363142}' as format_msg_with_header(msgToSend)=b'52   drag                     {"drag": 20298555.18363142}'
INFO       2022-04-12 14:51:07,242: topic='field_update' sending data='{"currentTimestep": 38}' as format_msg_with_header(msgToSend)=b'48   field_update             {"currentTimestep": 38}'
DEBUG      2022-04-12 14:51:07,242: Timestep:    37-{'drag': 20298555.18363142}
INFO       2022-04-12 14:51:07,332: topic='drag' sending data='{"drag": 20798830.883725177}' as format_msg_with_header(msgToSend)=b'53   drag                     {"drag": 20798830.883725177}'
INFO       2022-04-12 14:51:07,332: topic='field_update' sending data='{"currentTimestep": 39}' as format_msg_with_header(msgToSend)=b'48   field_update             {"currentTimestep": 39}'
DEBUG      2022-04-12 14:51:07,332: Timestep:    38-{'drag': 20798830.883725177}
INFO       2022-04-12 14:51:07,426: topic='drag' sending data='{"drag": 21271140.468735974}' as format_msg_with_header(msgToSend)=b'53   drag                     {"drag": 21271140.468735974}'
INFO       2022-04-12 14:51:07,427: topic='field_update' sending data='{"currentTimestep": 40}' as format_msg_with_header(msgToSend)=b'48   field_update             {"currentTimestep": 40}'
DEBUG      2022-04-12 14:51:07,427: Timestep:    39-{'drag': 21271140.468735974}
INFO       2022-04-12 14:51:07,551: topic='drag' sending data='{"drag": 21714758.10954448}' as format_msg_with_header(msgToSend)=b'52   drag                     {"drag": 21714758.10954448}'
INFO       2022-04-12 14:51:07,551: topic='field_update' sending data='{"currentTimestep": 41}' as format_msg_with_header(msgToSend)=b'48   field_update             {"currentTimestep": 41}'
DEBUG      2022-04-12 14:51:07,551: Timestep:    40-{'drag': 21714758.10954448}
INFO       2022-04-12 14:51:07,675: topic='drag' sending data='{"drag": 22129065.237845734}' as format_msg_with_header(msgToSend)=b'53   drag                     {"drag": 22129065.237845734}'
INFO       2022-04-12 14:51:07,675: topic='field_update' sending data='{"currentTimestep": 42}' as format_msg_with_header(msgToSend)=b'48   field_update             {"currentTimestep": 42}'
DEBUG      2022-04-12 14:51:07,675: Timestep:    41-{'drag': 22129065.237845734}
INFO       2022-04-12 14:51:07,817: topic='drag' sending data='{"drag": 22513541.177216664}' as format_msg_with_header(msgToSend)=b'53   drag                     {"drag": 22513541.177216664}'
INFO       2022-04-12 14:51:07,817: topic='field_update' sending data='{"currentTimestep": 43}' as format_msg_with_header(msgToSend)=b'48   field_update             {"currentTimestep": 43}'
DEBUG      2022-04-12 14:51:07,817: Timestep:    42-{'drag': 22513541.177216664}
INFO       2022-04-12 14:51:07,986: topic='drag' sending data='{"drag": 22867753.857981943}' as format_msg_with_header(msgToSend)=b'53   drag                     {"drag": 22867753.857981943}'
INFO       2022-04-12 14:51:07,986: topic='field_update' sending data='{"currentTimestep": 44}' as format_msg_with_header(msgToSend)=b'48   field_update             {"currentTimestep": 44}'
DEBUG      2022-04-12 14:51:07,986: Timestep:    43-{'drag': 22867753.857981943}
INFO       2022-04-12 14:51:08,121: topic='drag' sending data='{"drag": 23191350.74578056}' as format_msg_with_header(msgToSend)=b'52   drag                     {"drag": 23191350.74578056}'
INFO       2022-04-12 14:51:08,121: topic='field_update' sending data='{"currentTimestep": 45}' as format_msg_with_header(msgToSend)=b'48   field_update             {"currentTimestep": 45}'
DEBUG      2022-04-12 14:51:08,121: Timestep:    44-{'drag': 23191350.74578056}
INFO       2022-04-12 14:51:08,243: topic='drag' sending data='{"drag": 23484050.094887048}' as format_msg_with_header(msgToSend)=b'53   drag                     {"drag": 23484050.094887048}'
INFO       2022-04-12 14:51:08,243: topic='field_update' sending data='{"currentTimestep": 46}' as format_msg_with_header(msgToSend)=b'48   field_update             {"currentTimestep": 46}'
DEBUG      2022-04-12 14:51:08,243: Timestep:    45-{'drag': 23484050.094887048}
INFO       2022-04-12 14:51:08,366: topic='drag' sending data='{"drag": 23745632.61969813}' as format_msg_with_header(msgToSend)=b'52   drag                     {"drag": 23745632.61969813}'
INFO       2022-04-12 14:51:08,366: topic='field_update' sending data='{"currentTimestep": 47}' as format_msg_with_header(msgToSend)=b'48   field_update             {"currentTimestep": 47}'
DEBUG      2022-04-12 14:51:08,366: Timestep:    46-{'drag': 23745632.61969813}
INFO       2022-04-12 14:51:08,444: topic='drag' sending data='{"drag": 23975933.661623504}' as format_msg_with_header(msgToSend)=b'53   drag                     {"drag": 23975933.661623504}'
INFO       2022-04-12 14:51:08,444: topic='field_update' sending data='{"currentTimestep": 48}' as format_msg_with_header(msgToSend)=b'48   field_update             {"currentTimestep": 48}'
DEBUG      2022-04-12 14:51:08,444: Timestep:    47-{'drag': 23975933.661623504}
INFO       2022-04-12 14:51:08,537: topic='drag' sending data='{"drag": 24174835.91409599}' as format_msg_with_header(msgToSend)=b'52   drag                     {"drag": 24174835.91409599}'
INFO       2022-04-12 14:51:08,537: topic='field_update' sending data='{"currentTimestep": 49}' as format_msg_with_header(msgToSend)=b'48   field_update             {"currentTimestep": 49}'
DEBUG      2022-04-12 14:51:08,537: Timestep:    48-{'drag': 24174835.91409599}
INFO       2022-04-12 14:51:08,630: topic='drag' sending data='{"drag": 24342262.755637884}' as format_msg_with_header(msgToSend)=b'53   drag                     {"drag": 24342262.755637884}'
INFO       2022-04-12 14:51:08,630: topic='field_update' sending data='{"currentTimestep": 50}' as format_msg_with_header(msgToSend)=b'48   field_update             {"currentTimestep": 50}'
DEBUG      2022-04-12 14:51:08,630: Timestep:    49-{'drag': 24342262.755637884}
INFO       2022-04-12 14:51:08,788: topic='drag' sending data='{"drag": 24478172.22991886}' as format_msg_with_header(msgToSend)=b'52   drag                     {"drag": 24478172.22991886}'
INFO       2022-04-12 14:51:08,788: topic='field_update' sending data='{"currentTimestep": 51}' as format_msg_with_header(msgToSend)=b'48   field_update             {"currentTimestep": 51}'
DEBUG      2022-04-12 14:51:08,788: Timestep:    50-{'drag': 24478172.22991886}
INFO       2022-04-12 14:51:08,925: topic='drag' sending data='{"drag": 24582551.70249095}' as format_msg_with_header(msgToSend)=b'52   drag                     {"drag": 24582551.70249095}'
INFO       2022-04-12 14:51:08,925: topic='field_update' sending data='{"currentTimestep": 52}' as format_msg_with_header(msgToSend)=b'48   field_update             {"currentTimestep": 52}'
DEBUG      2022-04-12 14:51:08,925: Timestep:    51-{'drag': 24582551.70249095}
INFO       2022-04-12 14:51:09,081: topic='drag' sending data='{"drag": 24655413.21632039}' as format_msg_with_header(msgToSend)=b'52   drag                     {"drag": 24655413.21632039}'
INFO       2022-04-12 14:51:09,081: topic='field_update' sending data='{"currentTimestep": 53}' as format_msg_with_header(msgToSend)=b'48   field_update             {"currentTimestep": 53}'
