INFO       2022-07-30 22:12:41,844: topic='drag' sending data='{"drag": 0}' as format_msg_with_header(msgToSend)=b'36   drag                     {"drag": 0}'
INFO       2022-07-30 22:13:01,334: topic='drag' sending data='{"drag": 24342262.755637884}' as format_msg_with_header(msgToSend)=b'53   drag                     {"drag": 24342262.755637884}'
INFO       2022-07-30 22:13:01,335: topic='field_update' sending data='{"currentTimestep": 50}' as format_msg_with_header(msgToSend)=b'48   field_update             {"currentTimestep": 50}'
DEBUG      2022-07-30 22:13:01,336: Timestep:    49-{'drag': 24342262.755637884}
INFO       2022-07-30 22:13:01,846: topic='drag' sending data='{"drag": 24478172.22991886}' as format_msg_with_header(msgToSend)=b'52   drag                     {"drag": 24478172.22991886}'
INFO       2022-07-30 22:13:01,847: topic='field_update' sending data='{"currentTimestep": 51}' as format_msg_with_header(msgToSend)=b'48   field_update             {"currentTimestep": 51}'
DEBUG      2022-07-30 22:13:01,848: Timestep:    50-{'drag': 24478172.22991886}
INFO       2022-07-30 22:13:02,338: topic='drag' sending data='{"drag": 24582551.70249095}' as format_msg_with_header(msgToSend)=b'52   drag                     {"drag": 24582551.70249095}'
INFO       2022-07-30 22:13:02,339: topic='field_update' sending data='{"currentTimestep": 52}' as format_msg_with_header(msgToSend)=b'48   field_update             {"currentTimestep": 52}'
DEBUG      2022-07-30 22:13:02,340: Timestep:    51-{'drag': 24582551.70249095}
INFO       2022-07-30 22:13:02,943: topic='drag' sending data='{"drag": 24655413.21632039}' as format_msg_with_header(msgToSend)=b'52   drag                     {"drag": 24655413.21632039}'
INFO       2022-07-30 22:13:02,944: topic='field_update' sending data='{"currentTimestep": 53}' as format_msg_with_header(msgToSend)=b'48   field_update             {"currentTimestep": 53}'
DEBUG      2022-07-30 22:13:02,945: Timestep:    52-{'drag': 24655413.21632039}
INFO       2022-07-30 22:13:03,431: topic='drag' sending data='{"drag": 24696789.56225315}' as format_msg_with_header(msgToSend)=b'52   drag                     {"drag": 24696789.56225315}'
INFO       2022-07-30 22:13:03,433: topic='field_update' sending data='{"currentTimestep": 54}' as format_msg_with_header(msgToSend)=b'48   field_update             {"currentTimestep": 54}'
DEBUG      2022-07-30 22:13:03,434: Timestep:    53-{'drag': 24696789.56225315}
INFO       2022-07-30 22:13:03,830: topic='drag' sending data='{"drag": 24706731.076022044}' as format_msg_with_header(msgToSend)=b'53   drag                     {"drag": 24706731.076022044}'
INFO       2022-07-30 22:13:03,831: topic='field_update' sending data='{"currentTimestep": 55}' as format_msg_with_header(msgToSend)=b'48   field_update             {"currentTimestep": 55}'
DEBUG      2022-07-30 22:13:03,832: Timestep:    54-{'drag': 24706731.076022044}
INFO       2022-07-30 22:13:04,437: topic='drag' sending data='{"drag": 24685303.170183133}' as format_msg_with_header(msgToSend)=b'53   drag                     {"drag": 24685303.170183133}'
INFO       2022-07-30 22:13:04,439: topic='field_update' sending data='{"currentTimestep": 56}' as format_msg_with_header(msgToSend)=b'48   field_update             {"currentTimestep": 56}'
DEBUG      2022-07-30 22:13:04,439: Timestep:    55-{'drag': 24685303.170183133}
INFO       2022-07-30 22:13:04,947: topic='drag' sending data='{"drag": 24632584.607294645}' as format_msg_with_header(msgToSend)=b'53   drag                     {"drag": 24632584.607294645}'
INFO       2022-07-30 22:13:04,948: topic='field_update' sending data='{"currentTimestep": 57}' as format_msg_with_header(msgToSend)=b'48   field_update             {"currentTimestep": 57}'
DEBUG      2022-07-30 22:13:04,977: Timestep:    56-{'drag': 24632584.607294645}
INFO       2022-07-30 22:13:05,345: topic='drag' sending data='{"drag": 24548666.519554257}' as format_msg_with_header(msgToSend)=b'53   drag                     {"drag": 24548666.519554257}'
INFO       2022-07-30 22:13:05,347: topic='field_update' sending data='{"currentTimestep": 58}' as format_msg_with_header(msgToSend)=b'48   field_update             {"currentTimestep": 58}'
DEBUG      2022-07-30 22:13:05,347: Timestep:    57-{'drag': 24548666.519554257}
INFO       2022-07-30 22:13:05,726: topic='drag' sending data='{"drag": 24433652.179808944}' as format_msg_with_header(msgToSend)=b'53   drag                     {"drag": 24433652.179808944}'
INFO       2022-07-30 22:13:05,727: topic='field_update' sending data='{"currentTimestep": 59}' as format_msg_with_header(msgToSend)=b'48   field_update             {"currentTimestep": 59}'
DEBUG      2022-07-30 22:13:05,728: Timestep:    58-{'drag': 24433652.179808944}
INFO       2022-07-30 22:13:06,238: topic='drag' sending data='{"drag": 24287657.52915899}' as format_msg_with_header(msgToSend)=b'52   drag                     {"drag": 24287657.52915899}'
INFO       2022-07-30 22:13:06,239: topic='field_update' sending data='{"currentTimestep": 60}' as format_msg_with_header(msgToSend)=b'48   field_update             {"currentTimestep": 60}'
DEBUG      2022-07-30 22:13:06,240: Timestep:    59-{'drag': 24287657.52915899}
INFO       2022-07-30 22:13:06,767: topic='drag' sending data='{"drag": 24110812.467101373}' as format_msg_with_header(msgToSend)=b'53   drag                     {"drag": 24110812.467101373}'
INFO       2022-07-30 22:13:06,768: topic='field_update' sending data='{"currentTimestep": 61}' as format_msg_with_header(msgToSend)=b'48   field_update             {"currentTimestep": 61}'
DEBUG      2022-07-30 22:13:06,769: Timestep:    60-{'drag': 24110812.467101373}
INFO       2022-07-30 22:13:07,244: topic='drag' sending data='{"drag": 23753242.090021033}' as format_msg_with_header(msgToSend)=b'53   drag                     {"drag": 23753242.090021033}'
INFO       2022-07-30 22:13:07,245: topic='field_update' sending data='{"currentTimestep": 62}' as format_msg_with_header(msgToSend)=b'48   field_update             {"currentTimestep": 62}'
DEBUG      2022-07-30 22:13:07,245: Timestep:    61-{'drag': 23753242.090021033}
INFO       2022-07-30 22:13:07,838: topic='drag' sending data='{"drag": 23283318.400096476}' as format_msg_with_header(msgToSend)=b'53   drag                     {"drag": 23283318.400096476}'
INFO       2022-07-30 22:13:07,839: topic='field_update' sending data='{"currentTimestep": 63}' as format_msg_with_header(msgToSend)=b'48   field_update             {"currentTimestep": 63}'
DEBUG      2022-07-30 22:13:07,840: Timestep:    62-{'drag': 23283318.400096476}
INFO       2022-07-30 22:13:08,445: topic='drag' sending data='{"drag": 22803150.338687778}' as format_msg_with_header(msgToSend)=b'53   drag                     {"drag": 22803150.338687778}'
INFO       2022-07-30 22:13:08,446: topic='field_update' sending data='{"currentTimestep": 64}' as format_msg_with_header(msgToSend)=b'48   field_update             {"currentTimestep": 64}'
DEBUG      2022-07-30 22:13:08,447: Timestep:    63-{'drag': 22803150.338687778}
INFO       2022-07-30 22:13:08,924: topic='drag' sending data='{"drag": 22313055.997907106}' as format_msg_with_header(msgToSend)=b'53   drag                     {"drag": 22313055.997907106}'
